step,vehicle,speed,distance_to_intersection,decision
49,car1,0.0,30.882234211587765,WAIT
49,car2,0.0,20.561240390005157,PROCEED
49,car3,0.0,23.992067339033696,WAIT
50,car0,0.0,35.24576682991362,WAIT
50,car1,0.0,30.882234211587765,WAIT
50,car2,0.0,20.561240390005157,PROCEED
50,car3,0.0,23.992067339033696,WAIT
51,car0,0.0,35.24576682991362,WAIT
51,car1,0.0,30.882234211587765,WAIT
51,car2,0.0,20.561240390005157,PROCEED
51,car3,0.0,23.992067339033696,WAIT
52,car0,0.0,35.24576682991362,WAIT
52,car1,0.0,30.882234211587765,WAIT
52,car2,0.0,20.561240390005157,PROCEED
52,car3,0.0,23.992067339033696,WAIT
53,car0,0.0,35.24576682991362,WAIT
53,car1,0.0,30.882234211587765,WAIT
53,car2,0.0,20.561240390005157,PROCEED
53,car3,0.0,23.992067339033696,WAIT
54,car0,0.0,35.24576682991362,WAIT
54,car1,0.0,30.882234211587765,WAIT
54,car2,0.0,20.561240390005157,PROCEED
54,car3,0.0,23.992067339033696,WAIT
55,car0,0.0,35.24576682991362,WAIT
55,car1,0.0,30.882234211587765,WAIT
55,car2,0.0,20.561240390005157,PROCEED
55,car3,0.0,23.992067339033696,WAIT
56,car0,0.0,35.24576682991362,WAIT
56,car1,0.0,30.882234211587765,WAIT
56,car2,0.0,20.561240390005157,PROCEED
56,car3,0.0,23.992067339033696,WAIT
57,car0,0.0,35.24576682991362,WAIT
57,car1,0.0,30.882234211587765,WAIT
57,car2,0.0,20.561240390005157,PROCEED
57,car3,0.0,23.992067339033696,WAIT
58,car0,0.0,35.24576682991362,WAIT
58,car1,0.0,30.882234211587765,WAIT
58,car2,0.0,20.561240390005157,PROCEED
58,car3,0.0,23.992067339033696,WAIT
59,car0,0.0,35.24576682991362,WAIT
59,car1,0.0,30.882234211587765,WAIT
59,car2,0.0,20.561240390005157,PROCEED
59,car3,0.0,23.992067339033696,WAIT
60,car0,0.0,35.24576682991362,WAIT
60,car1,0.0,30.882234211587765,WAIT
60,car2,0.0,20.561240390005157,PROCEED
60,car3,0.0,23.992067339033696,WAIT
61,car0,0.0,35.24576682991362,WAIT
61,car1,0.0,30.882234211587765,WAIT
61,car2,0.0,20.561240390005157,PROCEED
61,car3,0.0,23.992067339033696,WAIT
62,car0,0.0,35.24576682991362,WAIT
62,car1,0.0,30.882234211587765,WAIT
62,car2,0.0,20.561240390005157,PROCEED
62,car3,0.0,23.992067339033696,WAIT
63,car0,0.0,35.24576682991362,WAIT
63,car1,0.0,30.882234211587765,WAIT
63,car2,0.0,20.561240390005157,PROCEED
63,car3,0.0,23.992067339033696,WAIT
64,car0,0.0,35.24576682991362,WAIT
64,car1,0.0,30.882234211587765,WAIT
64,car2,0.0,20.561240390005157,PROCEED
64,car3,0.0,23.992067339033696,WAIT
65,car0,0.0,35.24576682991362,WAIT
65,car1,0.0,30.882234211587765,WAIT
65,car2,0.0,20.561240390005157,PROCEED
65,car3,0.0,23.992067339033696,WAIT
66,car0,0.0,35.24576682991362,WAIT
66,car1,0.0,30.882234211587765,WAIT
66,car2,0.0,20.561240390005157,PROCEED
66,car3,0.0,23.992067339033696,WAIT
67,car0,0.0,35.24576682991362,WAIT
67,car1,0.0,30.882234211587765,WAIT
67,car2,0.0,20.561240390005157,PROCEED
67,car3,0.0,23.992067339033696,WAIT
68,car0,0.0,35.24576682991362,WAIT
68,car1,0.0,30.882234211587765,WAIT
68,car2,0.0,20.561240390005157,PROCEED
