step,vehicle,speed,distance_to_intersection,time_to_intersection,raw_decision,final_decision,conflict
82,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
82,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
82,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
83,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
83,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
83,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
83,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
84,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
84,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
84,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
84,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
85,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
85,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
85,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
85,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
86,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
86,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
86,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
86,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
87,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
87,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
87,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
87,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
88,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
88,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
88,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
88,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
89,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
89,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
89,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
89,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
90,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
90,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
90,car2,2.6,18.427449154912594,7.087480444197151,PROCEED,PROCEED,False
90,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
91,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
91,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
91,car2,5.2,14.620316337096893,2.811599295595556,PROCEED,PROCEED,False
91,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
92,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
92,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
92,car2,7.800000000000001,11.255006675903491,1.4429495738337808,PROCEED,PROCEED,False
92,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
93,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
93,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
93,car2,10.4,14.153173070801131,1.3608820260385703,PROCEED,PROCEED,False
93,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
94,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
94,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
94,car2,13.0,24.425913856633088,1.8789164505102376,WAIT,WAIT,False
94,car3,0.0,23.992067339033696,inf,PROCEED,PROCEED,False
95,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
95,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
95,car2,8.5,32.21670263263357,3.7902003097215964,WAIT,WAIT,False
95,car3,2.6,21.72680200185003,8.356462308403858,PROCEED,PROCEED,False
96,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
96,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
96,car2,4.0,35.99419456403629,8.998548641009073,WAIT,WAIT,False
96,car3,5.2,17.490297530232446,3.363518755813932,PROCEED,PROCEED,False
97,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
97,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
97,car2,0.0,35.99419456403629,inf,WAIT,WAIT,False
97,car3,7.800000000000001,12.577855553964515,1.6125455838416043,PROCEED,PROCEED,False
98,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
98,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
98,car2,0.0,35.99419456403629,inf,WAIT,WAIT,False
98,car3,10.4,12.251751980376977,1.1780530750362477,PROCEED,PROCEED,False
99,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
99,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
99,car2,0.0,35.99419456403629,inf,WAIT,WAIT,False
99,car3,13.0,21.062159574924944,1.6201661211480727,PROCEED,PROCEED,False
